seed,spawnBiome,spawnX,spawnZ,spawnMag,distance,percentage,biome,X,Z,temperature,humidity,continentalness,erosion,depth,weirdness,originTemperature,originHumidity,originContinentalness,originErosion,originDepth,originWeirdness,villageTemperature,villageHumidity,villageContinentalness,villageErosion,villageDepth,villageWeirdness,debug
-2309388162196576602,dripstone_caves,0,0,0.0,11.0,0.0,plains,-176,0,0.3825374991171884,0.08907423434738683,0.36974450556418254,-0.34794723105913716,0.5078125,0.30145817342104975,0.3825374991171884,0.08907423434738683,0.36974450556418254,-0.34794723105913716,1.0,0.30145817342104975,0.4053135115221401,-0.07177936706144705,0.27084340519484856,-0.4326577996570507,-0.5625,0.15483104519609586,Far inland
-8760093925421210732,plains,0,0,0.0,42.20189569201838,0.0,plains,400,544,0.027351851319776348,-0.22993684304502274,0.038238295020566304,-0.06773409261943016,0.5078125,0.3536340786739295,0.027351851319776348,-0.22993684304502274,0.038238295020566304,-0.06773409261943016,1.0,0.3536340786739295,0.05353731933454269,-0.1920133268014277,0.47266513607375227,0.19026113211746032,-0.5625,0.3209144979386236,Mid inland
5672820530964800251,snowy_beach,-83,-86,119.5198728245642,61.39218191268331,0.0,snowy_plains,-1056,112,-0.6675991300033792,-0.015498263144616435,-0.11204654522959959,-0.1570475794009721,0.5078125,-0.18469806915840886,-0.6964771399896591,-0.07196897499802268,-0.18614215333881465,-0.023154756181199707,1.0,0.14843967770121866,-0.552331016277296,-0.13908685869947954,0.03897777308673402,0.0995076317834431,-0.5625,0.17451796829560326,Coast
8656559870889317283,lush_caves,0,0,0.0,21.93171219946131,0.0,plains,-256,-240,0.5369445894399938,0.2928444056989565,0.2576050690340839,0.5697873160847753,0.5078125,0.16098849462264075,0.5369445894399938,0.2928444056989565,0.2576050690340839,0.5697873160847753,1.0,0.16098849462264075,0.5074362589988105,0.07412744006229659,0.2808981650287468,0.422196264446284,-0.5625,0.9181559814349521,Mid inland
8697471648412014216,lush_caves,-191,-170,255.69708641280997,42.05948168962618,0.0,savanna,128,-768,0.3723354293306024,0.26978869836501357,-0.0914071334369596,-0.36497696799028284,0.5078125,-0.25403967735233474,0.3311064633300598,0.01833457321982815,-0.42502130385846715,-0.1998290739321138,1.0,0.6015536302796236,0.350547608812109,-0.1408948062035105,0.06211549093430179,-0.10478381497691361,-0.5625,1.0873928251287066,Near inland
-8769432512903373572,dripstone_caves,-13,20,23.853720883753127,21.840329667841555,0.0,savanna,320,112,0.37492650891947893,-0.029175826552784927,0.45361926711857625,0.23483969100372656,0.5078125,-0.18908706647326684,0.35810058756337726,-0.046228631648685514,0.5154983406973407,0.2630713614715292,1.0,-0.10014117768724712,0.26539410535989416,-0.24042404735178932,0.4326515593117657,0.15282203696574562,-0.5625,0.3838600651678956,Far inland
979243742939779036,snowy_plains,-41,77,87.23531395025755,30.479501308256342,0.0,snowy_plains,-416,384,-0.6467976885262328,0.030810134036039674,-0.011813463777305409,-0.268475974608609,0.5078125,-0.24693637040661312,-0.6442812619995439,0.06455157898256442,-0.30438562529442126,-0.3088734023352615,1.0,-0.13215858042133694,-0.5776449265344856,-0.14810357922767575,0.262586253009422,0.20637059147897738,-0.5625,0.468922074198655,Near inland
-2377030701627215825,dripstone_caves,0,0,0.0,32.202484376209235,0.0,plains,-464,224,0.19162281834670175,0.25165554368416565,0.47734769356097345,0.016461199823345662,0.5078125,-0.17588675913851703,0.19162281834670175,0.25165554368416565,0.47734769356097345,0.016461199823345662,1.0,-0.17588675913851703,0.1954598266570044,-0.24688524584941623,0.1380774476717596,-0.3520454824186822,-0.5625,-0.26609430879581947,Far inland
-8609445325175589066,plains,0,0,0.0,74.41102068914255,0.0,savanna,-896,-784,0.30747784880851325,-0.08120246813500498,-0.07596772336761258,-0.46247934704417853,0.5078125,0.3333727115486973,0.30747784880851325,-0.08120246813500498,-0.07596772336761258,-0.46247934704417853,1.0,0.3333727115486973,0.28243496494758447,-0.2247817764082998,0.224052079828268,0.5424273351545033,-0.5625,-0.23521629021341883,Near inland
4538326392415193688,plains,-118,-162,200.4195599236761,15.556349186104045,0.0,plains,48,-352,-0.018804983153344196,-0.2788487704428257,-0.10319273702171132,0.3789771646838946,0.5078125,0.22716063729119434,-0.004886822014699005,-0.24253111818755616,-0.30272607508784477,0.366079973083141,1.0,0.3193303565407796,0.04450333157159585,-0.21248646139027405,-0.15673769787622094,0.5499066238376114,-0.5625,0.6072135568071547,Near inland
